ticket_id,customer_id,created_at,closed_at,status,satisfaction_score
TKT000074,U000135,2024-11-11,2024-11-12,closed,3.0
TKT000075,U000135,2024-07-14,2024-07-19,closed,2.0
TKT000076,U000135,2024-10-15,2024-10-20,closed,4.0
TKT000077,U000148,2024-07-27,2024-07-31,closed,3.0
TKT000078,U000148,2024-10-23,2024-10-28,closed,2.0
TKT000079,U000150,2024-03-12,2024-03-15,closed,4.0
TKT000080,U000153,2022-04-10,2022-04-12,closed,4.0
TKT000081,U000153,2022-04-12,,open,
TKT000082,U000153,2022-04-11,,open,
TKT000083,U000156,2024-02-13,2024-02-17,closed,1.0
TKT000084,U000156,2023-03-03,2023-03-09,closed,1.0
TKT000085,U000156,2023-09-13,2023-09-16,closed,2.0
TKT000086,U000162,2023-08-27,2023-09-02,closed,4.0
TKT000087,U000173,2023-04-17,2023-04-24,closed,1.0
TKT000088,U000173,2023-04-28,2023-04-29,closed,4.0
TKT000089,U000173,2023-04-25,2023-04-30,closed,3.0
TKT000090,U000180,2022-04-17,,open,
TKT000091,U000180,2022-04-19,,open,
TKT000092,U000182,2023-09-01,2023-09-04,closed,3.0
TKT000093,U000188,2024-09-07,2024-09-13,closed,3.0
TKT000094,U000188,2023-10-30,2023-11-03,closed,3.0
TKT000095,U000194,2023-04-09,2023-04-10,closed,3.0
TKT000096,U000194,2023-05-01,2023-05-07,closed,1.0
TKT000097,U000199,2024-08-24,2024-08-25,closed,5.0
TKT000098,U000199,2024-12-02,2024-12-08,closed,4.0
TKT000099,U000199,2023-03-17,2023-03-21,closed,2.0
TKT000100,U000201,2023-12-21,,open,
TKT000101,U000209,2022-06-03,2022-06-08,closed,3.0
TKT000102,U000209,2022-05-31,2022-06-07,closed,5.0
TKT000103,U000212,2022-03-03,2022-03-07,closed,2.0
TKT000104,U000215,2024-01-21,2024-01-22,closed,1.0
TKT000105,U000215,2024-01-29,2024-02-02,closed,3.0
TKT000106,U000218,2023-02-26,,open,
TKT000107,U000218,2023-02-25,,open,
TKT000108,U000223,2022-04-05,2022-04-08,closed,4.0
TKT000109,U000223,2022-03-27,2022-04-03,closed,5.0
TKT000110,U000227,2023-06-16,2023-06-17,closed,1.0
TKT000111,U000227,2023-06-16,,open,
TKT000112,U000234,2022-12-04,2022-12-09,closed,5.0
TKT000113,U000234,2022-11-15,2022-11-21,closed,1.0
TKT000114,U000236,2022-01-19,,open,
TKT000115,U000236,2022-01-19,,open,
TKT000116,U000236,2022-01-18,,open,
TKT000117,U000260,2023-12-21,2023-12-27,closed,2.0
TKT000118,U000262,2022-10-02,2022-10-03,closed,4.0
TKT000119,U000262,2022-10-05,,open,
TKT000120,U000262,2022-09-27,2022-10-03,closed,3.0
TKT000121,U000266,2024-03-18,2024-03-19,closed,1.0
TKT000122,U000266,2024-02-23,2024-03-01,closed,4.0
TKT000123,U000266,2024-05-19,2024-05-22,closed,2.0
TKT000124,U000268,2023-05-14,,open,
TKT000125,U000268,2023-04-19,2023-04-26,closed,1.0
TKT000126,U000271,2022-02-21,,open,
TKT000127,U000271,2022-02-24,,open,
TKT000128,U000272,2023-01-07,2023-01-08,closed,1.0
TKT000129,U000272,2023-01-04,2023-01-05,closed,4.0
TKT000130,U000282,2023-01-12,2023-01-13,closed,4.0
TKT000131,U000283,2023-09-25,2023-09-26,closed,3.0
TKT000132,U000283,2023-01-06,2023-01-08,closed,1.0
TKT000133,U000287,2022-12-14,2022-12-21,closed,3.0
TKT000134,U000289,2022-12-22,2022-12-25,closed,5.0
TKT000135,U000297,2022-10-30,2022-11-03,closed,4.0
TKT000136,U000297,2022-10-31,2022-11-01,closed,4.0
TKT000137,U000297,2022-12-04,2022-12-10,closed,2.0
TKT000138,U000315,2022-07-11,,open,
TKT000139,U000319,2023-08-04,,open,
TKT000140,U000319,2023-08-02,,open,
TKT000141,U000319,2023-08-01,2023-08-04,closed,1.0
TKT000142,U000325,2024-03-29,2024-03-30,closed,2.0
TKT000143,U000327,2024-12-05,2024-12-08,closed,2.0
TKT000144,U000327,2023-09-02,2023-09-08,closed,4.0
TKT000145,U000340,2023-01-19,2023-01-25,closed,1.0
TKT000146,U000340,2023-02-22,2023-02-27,closed,4.0
TKT000147,U000340,2023-02-10,2023-02-16,closed,3.0
TKT000148,U000341,2022-04-11,2022-04-16,closed,3.0
TKT000149,U000341,2022-04-24,2022-04-26,closed,1.0
TKT000150,U000341,2022-04-16,2022-04-18,closed,2.0
TKT000151,U000352,2023-08-30,2023-09-03,closed,3.0
TKT000152,U000356,2023-01-02,,open,
TKT000153,U000356,2022-12-30,2022-12-31,closed,4.0
TKT000154,U000356,2022-12-30,,open,
TKT000155,U000360,2024-08-19,2024-08-25,closed,4.0
TKT000156,U000360,2022-12-19,2022-12-23,closed,3.0
TKT000157,U000361,2022-06-02,2022-06-04,closed,3.0
TKT000158,U000361,2022-06-04,,open,
TKT000159,U000361,2022-06-03,,open,
TKT000160,U000384,2023-12-03,2023-12-09,closed,5.0
TKT000161,U000388,2023-03-31,2023-04-07,closed,5.0
TKT000162,U000391,2023-06-14,2023-06-20,closed,2.0
TKT000163,U000391,2024-03-16,2024-03-19,closed,3.0
TKT000164,U000391,2022-11-11,2022-11-17,closed,5.0
TKT000165,U000401,2022-12-08,2022-12-11,closed,1.0
TKT000166,U000401,2023-01-03,2023-01-07,closed,2.0
TKT000167,U000404,2024-10-29,2024-11-02,closed,2.0
TKT000168,U000404,2024-10-20,2024-10-24,closed,3.0
TKT000169,U000404,2024-06-29,2024-07-05,closed,4.0
TKT000170,U000411,2024-05-03,2024-05-04,closed,4.0
TKT000171,U000411,2023-02-26,2023-03-01,closed,5.0
TKT000172,U000411,2024-04-24,2024-04-25,closed,2.0
TKT000173,U000412,2024-09-22,2024-09-28,closed,3.0
TKT000174,U000413,2022-09-22,2022-09-27,closed,1.0
TKT000175,U000413,2022-09-24,,open,
TKT000176,U000413,2022-09-29,,open,
TKT000177,U000415,2023-10-18,2023-10-19,closed,3.0
TKT000178,U000415,2023-11-23,2023-11-27,closed,3.0
TKT000179,U000423,2023-08-09,2023-08-14,closed,2.0
TKT000180,U000426,2022-06-23,2022-06-29,closed,4.0
TKT000181,U000426,2022-06-21,2022-06-26,closed,3.0
TKT000182,U000426,2022-06-26,,open,
TKT000183,U000436,2023-04-30,2023-05-02,closed,4.0
TKT000184,U000437,2022-07-29,,open,
TKT000185,U000439,2023-03-17,,open,
TKT000186,U000441,2022-08-04,,open,
TKT000187,U000442,2022-04-13,,open,
TKT000188,U000442,2022-04-11,,open,
TKT000189,U000448,2023-05-08,2023-05-13,closed,4.0
TKT000190,U000452,2024-01-13,2024-01-19,closed,2.0
TKT000191,U000453,2023-10-07,,open,
TKT000192,U000453,2023-09-19,2023-09-26,closed,1.0
TKT000193,U000455,2022-04-19,,open,
TKT000194,U000455,2022-04-20,,open,
TKT000195,U000467,2024-10-18,2024-10-20,closed,3.0
TKT000196,U000467,2023-11-06,2023-11-07,closed,3.0
TKT000197,U000467,2023-08-28,2023-09-02,closed,3.0
TKT000198,U000472,2023-11-20,2023-11-24,closed,4.0
TKT000199,U000480,2023-04-01,,open,
TKT000200,U000480,2023-03-30,,open,
TKT000201,U000492,2023-01-05,2023-01-07,closed,2.0
TKT000202,U000492,2023-01-03,2023-01-10,closed,5.0
TKT000203,U000492,2023-02-08,2023-02-10,closed,1.0
TKT000204,U000499,2022-03-28,2022-04-02,closed,4.0
TKT000205,U000499,2022-03-29,2022-04-04,closed,3.0
TKT000206,U000499,2022-04-05,2022-04-08,closed,4.0
TKT000207,U000507,2024-11-26,2024-11-27,closed,5.0
TKT000208,U000510,2023-08-04,2023-08-07,closed,5.0
TKT000209,U000510,2022-07-15,2022-07-19,closed,2.0
TKT000210,U000510,2023-11-02,2023-11-06,closed,3.0
TKT000211,U000517,2022-09-01,,open,
TKT000212,U000518,2024-01-08,2024-01-09,closed,5.0
TKT000213,U000518,2024-05-22,2024-05-27,closed,3.0
TKT000214,U000518,2024-12-12,,open,
TKT000215,U000522,2022-09-24,,open,
TKT000216,U000522,2022-09-17,2022-09-18,closed,3.0
TKT000217,U000523,2024-10-14,2024-10-16,closed,3.0
TKT000218,U000523,2023-02-11,2023-02-17,closed,4.0
TKT000219,U000526,2023-02-04,2023-02-07,closed,5.0
TKT000220,U000526,2023-02-02,2023-02-09,closed,4.0
TKT000221,U000526,2023-02-08,,open,
TKT000222,U000527,2024-02-10,2024-02-12,closed,5.0
TKT000223,U000527,2023-12-31,2024-01-07,closed,2.0
TKT000224,U000527,2024-07-23,2024-07-26,closed,2.0
TKT000225,U000551,2022-10-25,2022-10-29,closed,5.0
TKT000226,U000555,2024-12-03,2024-12-06,closed,3.0
TKT000227,U000555,2023-10-02,2023-10-04,closed,5.0
TKT000228,U000555,2024-03-24,2024-03-25,closed,4.0
TKT000229,U000558,2022-06-25,2022-06-28,closed,2.0
TKT000230,U000558,2022-06-25,2022-06-30,closed,2.0
TKT000231,U000562,2023-07-15,2023-07-22,closed,2.0
TKT000232,U000567,2022-12-12,2022-12-18,closed,3.0
TKT000233,U000567,2022-12-12,2022-12-13,closed,2.0
TKT000234,U000567,2022-12-13,2022-12-17,closed,3.0
TKT000235,U000579,2022-05-19,,open,
TKT000236,U000584,2023-11-07,2023-11-09,closed,5.0
TKT000237,U000584,2023-03-17,2023-03-18,closed,1.0
TKT000238,U000595,2022-07-28,,open,
TKT000239,U000597,2024-03-14,,open,
TKT000240,U000597,2024-03-14,,open,
TKT000241,U000607,2022-12-03,2022-12-05,closed,3.0
TKT000242,U000617,2023-07-16,2023-07-17,closed,5.0
TKT000243,U000617,2023-07-23,2023-07-24,closed,2.0
TKT000244,U000617,2023-07-09,2023-07-13,closed,3.0
TKT000245,U000630,2022-04-26,2022-04-27,closed,3.0
TKT000246,U000630,2022-04-11,2022-04-16,closed,4.0
TKT000247,U000630,2022-04-12,2022-04-15,closed,3.0
TKT000248,U000650,2024-10-20,2024-10-27,closed,3.0
TKT000249,U000650,2023-07-05,2023-07-12,closed,2.0
TKT000250,U000650,2023-02-24,2023-02-26,closed,3.0
TKT000251,U000655,2024-11-13,2024-11-16,closed,5.0
TKT000252,U000655,2024-02-07,2024-02-11,closed,1.0
TKT000253,U000655,2024-04-29,2024-05-02,closed,1.0
TKT000254,U000658,2023-02-23,2023-02-27,closed,1.0
TKT000255,U000659,2022-09-13,,open,
TKT000256,U000659,2022-09-14,,open,
TKT000257,U000659,2022-09-13,,open,
TKT000258,U000676,2022-05-01,,open,
TKT000259,U000676,2022-04-25,2022-04-29,closed,2.0
TKT000260,U000676,2022-04-17,2022-04-24,closed,3.0
TKT000261,U000678,2023-08-24,2023-08-28,closed,4.0
TKT000262,U000678,2024-08-29,2024-09-05,closed,4.0
TKT000263,U000681,2023-05-13,2023-05-18,closed,3.0
TKT000264,U000681,2024-01-24,2024-01-31,closed,2.0
TKT000265,U000682,2022-09-15,,open,
TKT000266,U000682,2022-09-16,,open,
TKT000267,U000683,2024-10-27,2024-11-03,closed,2.0
TKT000268,U000690,2022-11-27,2022-12-01,closed,1.0
TKT000269,U000690,2023-06-10,2023-06-16,closed,1.0
TKT000270,U000690,2024-11-25,2024-11-28,closed,5.0
TKT000271,U000694,2023-05-18,2023-05-23,closed,3.0
TKT000272,U000694,2023-05-19,2023-05-24,closed,3.0
TKT000273,U000705,2024-07-26,2024-08-01,closed,2.0
TKT000274,U000711,2024-02-29,2024-03-05,closed,1.0
TKT000275,U000711,2024-06-02,2024-06-07,closed,1.0
TKT000276,U000713,2022-06-27,,open,
TKT000277,U000716,2023-10-13,2023-10-15,closed,3.0
TKT000278,U000721,2022-09-17,2022-09-23,closed,4.0
TKT000279,U000721,2022-08-23,2022-08-24,closed,3.0
TKT000280,U000738,2024-03-01,2024-03-05,closed,5.0
TKT000281,U000738,2022-12-21,2022-12-27,closed,5.0
TKT000282,U000738,2024-06-04,2024-06-05,closed,3.0
TKT000283,U000740,2024-07-06,2024-07-13,closed,4.0
TKT000284,U000740,2024-08-15,2024-08-22,closed,2.0
TKT000285,U000746,2022-09-30,2022-10-04,closed,4.0
TKT000286,U000746,2024-06-21,2024-06-23,closed,2.0
TKT000287,U000746,2023-05-08,2023-05-10,closed,2.0
TKT000288,U000747,2023-01-06,2023-01-12,closed,5.0
TKT000289,U000749,2022-12-27,,open,
TKT000290,U000756,2023-02-18,,open,
TKT000291,U000757,2024-03-04,2024-03-09,closed,5.0
TKT000292,U000757,2023-12-07,2023-12-12,closed,5.0
TKT000293,U000757,2024-10-13,2024-10-15,closed,3.0
TKT000294,U000759,2024-11-19,2024-11-23,closed,4.0
TKT000295,U000759,2022-11-05,2022-11-09,closed,2.0
TKT000296,U000759,2024-11-11,2024-11-18,closed,1.0
TKT000297,U000761,2023-07-26,2023-07-31,closed,1.0
TKT000298,U000766,2023-10-19,2023-10-23,closed,3.0
TKT000299,U000766,2024-01-04,2024-01-11,closed,3.0
TKT000300,U000766,2023-04-08,2023-04-12,closed,3.0
TKT000301,U000769,2022-11-15,2022-11-20,closed,3.0
TKT000302,U000769,2022-11-14,2022-11-21,closed,3.0
TKT000303,U000769,2022-11-15,2022-11-18,closed,4.0
TKT000304,U000773,2022-06-13,,open,
TKT000305,U000777,2022-11-14,,open,
TKT000306,U000777,2022-11-11,2022-11-16,closed,1.0
TKT000307,U000781,2022-10-16,2022-10-21,closed,4.0
TKT000308,U000781,2024-05-10,2024-05-16,closed,5.0
TKT000309,U000783,2022-07-10,,open,
TKT000310,U000784,2022-08-21,2022-08-22,closed,5.0
TKT000311,U000784,2022-09-09,2022-09-10,closed,3.0
TKT000312,U000790,2022-12-15,2022-12-16,closed,2.0
TKT000313,U000790,2022-12-20,,open,
TKT000314,U000790,2022-12-15,2022-12-20,closed,1.0
TKT000315,U000793,2022-07-30,2022-08-06,closed,2.0
TKT000316,U000793,2023-04-19,2023-04-24,closed,3.0
TKT000317,U000802,2024-06-03,2024-06-08,closed,2.0
TKT000318,U000809,2023-03-01,2023-03-06,closed,5.0
TKT000319,U000814,2023-06-24,2023-06-26,closed,4.0
TKT000320,U000814,2023-06-22,2023-06-25,closed,1.0
TKT000321,U000814,2023-07-04,2023-07-05,closed,5.0
TKT000322,U000818,2023-05-11,2023-05-12,closed,1.0
TKT000323,U000818,2023-05-08,2023-05-12,closed,2.0
TKT000324,U000818,2023-05-11,,open,
TKT000325,U000821,2022-11-06,,open,
TKT000326,U000821,2022-11-07,2022-11-09,closed,4.0
TKT000327,U000821,2022-11-07,,open,
TKT000328,U000828,2023-09-02,,open,
TKT000329,U000828,2023-09-03,,open,
TKT000330,U000828,2023-09-02,,open,
TKT000331,U000833,2023-08-11,,open,
TKT000332,U000839,2022-03-08,2022-03-14,closed,1.0
TKT000333,U000845,2024-07-27,2024-08-01,closed,2.0
TKT000334,U000845,2022-06-17,2022-06-24,closed,1.0
TKT000335,U000855,2024-03-11,2024-03-16,closed,3.0
TKT000336,U000855,2023-04-28,2023-05-03,closed,4.0
TKT000337,U000860,2022-07-23,2022-07-26,closed,1.0
TKT000338,U000864,2023-05-11,2023-05-18,closed,4.0
TKT000339,U000864,2023-01-20,2023-01-23,closed,4.0
TKT000340,U000864,2023-02-20,2023-02-25,closed,5.0
TKT000341,U000869,2022-01-18,,open,
TKT000342,U000869,2022-01-17,,open,
TKT000343,U000869,2022-01-15,,open,
TKT000344,U000872,2023-02-08,2023-02-10,closed,4.0
TKT000345,U000874,2024-11-20,2024-11-24,closed,4.0
TKT000346,U000874,2024-07-06,2024-07-10,closed,2.0
TKT000347,U000877,2022-08-21,2022-08-23,closed,3.0
TKT000348,U000877,2022-08-21,,open,
TKT000349,U000877,2022-08-20,2022-08-25,closed,4.0
TKT000350,U000887,2023-06-02,2023-06-05,closed,4.0
TKT000351,U000888,2022-06-15,2022-06-16,closed,4.0
TKT000352,U000888,2022-08-11,,open,
TKT000353,U000889,2023-04-03,2023-04-06,closed,4.0
TKT000354,U000889,2024-04-17,2024-04-20,closed,3.0
TKT000355,U000891,2024-11-29,2024-12-02,closed,2.0
TKT000356,U000891,2023-09-19,2023-09-21,closed,4.0
TKT000357,U000891,2024-08-03,2024-08-06,closed,3.0
TKT000358,U000894,2023-12-26,2023-12-28,closed,4.0
TKT000359,U000896,2023-05-29,2023-06-04,closed,4.0
TKT000360,U000897,2022-11-07,,open,
TKT000361,U000909,2022-06-11,2022-06-17,closed,1.0
TKT000362,U000909,2022-05-31,2022-06-02,closed,3.0
TKT000363,U000910,2022-11-16,2022-11-18,closed,3.0
TKT000364,U000910,2023-01-21,2023-01-27,closed,1.0
TKT000365,U000910,2023-12-18,2023-12-19,closed,2.0
TKT000366,U000913,2024-06-26,2024-07-02,closed,1.0
TKT000367,U000913,2024-05-03,2024-05-09,closed,5.0
TKT000368,U000913,2023-10-30,2023-11-06,closed,2.0
TKT000369,U000921,2023-07-29,2023-07-30,closed,2.0
TKT000370,U000921,2023-07-28,2023-08-02,closed,5.0
TKT000371,U000921,2023-07-25,2023-07-27,closed,3.0
TKT000372,U000925,2024-10-08,2024-10-09,closed,1.0
TKT000373,U000925,2024-08-21,2024-08-23,closed,5.0
TKT000374,U000925,2023-05-20,2023-05-27,closed,5.0
TKT000375,U000927,2022-09-07,,open,
TKT000376,U000927,2022-09-06,,open,
TKT000377,U000927,2022-09-05,2022-09-07,closed,5.0
TKT000378,U000932,2022-10-02,,open,
TKT000379,U000932,2022-09-30,2022-10-01,closed,2.0
TKT000380,U000934,2023-10-22,2023-10-27,closed,3.0
TKT000381,U000934,2024-02-07,2024-02-10,closed,1.0
TKT000382,U000951,2024-11-27,2024-11-28,closed,4.0
TKT000383,U000952,2023-09-04,2023-09-09,closed,5.0
TKT000384,U000952,2023-08-27,2023-08-31,closed,1.0
TKT000385,U000952,2023-09-11,2023-09-17,closed,2.0
TKT000386,U000954,2024-05-01,2024-05-03,closed,2.0
TKT000387,U000956,2023-07-04,2023-07-08,closed,1.0
TKT000388,U000956,2024-09-30,2024-10-07,closed,3.0
TKT000389,U000956,2022-09-05,2022-09-06,closed,3.0
TKT000390,U000960,2024-11-24,2024-12-01,closed,3.0
TKT000391,U000960,2022-12-31,2023-01-03,closed,3.0
TKT000392,U000961,2024-09-06,2024-09-13,closed,4.0
TKT000393,U000961,2023-06-19,2023-06-25,closed,1.0
TKT000394,U000965,2024-02-07,2024-02-13,closed,5.0
TKT000395,U000965,2024-05-27,2024-05-28,closed,1.0
TKT000396,U000967,2023-03-15,2023-03-16,closed,1.0
TKT000397,U000967,2023-05-04,2023-05-07,closed,3.0
TKT000398,U000977,2022-06-20,2022-06-22,closed,4.0
TKT000399,U000977,2022-06-22,,open,
TKT000400,U000983,2022-09-12,2022-09-13,closed,4.0
TKT000401,U000983,2022-09-12,2022-09-14,closed,1.0
TKT000402,U000983,2022-09-18,2022-09-19,closed,1.0
TKT000403,U000985,2022-07-04,2022-07-07,closed,1.0
TKT000404,U000985,2022-07-03,2022-07-10,closed,1.0
TKT000405,U000985,2022-07-09,,open,
TKT000406,U000997,2022-10-09,,open,
TKT000407,U000997,2022-10-09,,open,
TKT000408,U000997,2022-10-08,,open,
TKT000409,U001005,2024-02-15,2024-02-18,closed,5.0
TKT000410,U001005,2022-11-14,2022-11-18,closed,4.0
TKT000411,U001005,2024-11-04,2024-11-07,closed,1.0
TKT000412,U001007,2024-06-04,2024-06-06,closed,3.0
TKT000413,U001010,2023-03-31,2023-04-05,closed,3.0
TKT000414,U001010,2024-02-25,2024-03-03,closed,2.0
TKT000415,U001011,2022-04-23,,open,
TKT000416,U001011,2022-04-25,,open,
TKT000417,U001011,2022-04-23,2022-04-24,closed,1.0
TKT000418,U001013,2022-08-31,2022-09-07,closed,4.0
TKT000419,U001013,2022-09-03,2022-09-07,closed,1.0
TKT000420,U001013,2022-09-01,2022-09-03,closed,1.0
TKT000421,U001016,2023-10-25,,open,
TKT000422,U001016,2023-09-10,2023-09-15,closed,1.0
TKT000423,U001016,2023-10-24,,open,
TKT000424,U001020,2023-10-25,,open,
TKT000425,U001022,2023-02-07,,open,
TKT000426,U001026,2022-02-12,2022-02-18,closed,3.0
TKT000427,U001034,2024-06-19,2024-06-24,closed,2.0
TKT000428,U001034,2024-08-19,2024-08-24,closed,2.0
TKT000429,U001034,2024-02-28,2024-03-04,closed,5.0
TKT000430,U001036,2022-05-24,2022-05-25,closed,1.0
TKT000431,U001036,2022-04-24,2022-04-30,closed,3.0
TKT000432,U001040,2023-04-08,2023-04-15,closed,5.0
TKT000433,U001040,2024-05-14,2024-05-20,closed,5.0
TKT000434,U001040,2024-09-22,2024-09-25,closed,5.0
TKT000435,U001041,2024-04-05,2024-04-10,closed,3.0
TKT000436,U001041,2023-01-05,2023-01-12,closed,4.0
TKT000437,U001041,2023-12-15,2023-12-18,closed,2.0
TKT000438,U001042,2023-03-14,2023-03-16,closed,2.0
TKT000439,U001044,2023-04-29,2023-05-02,closed,2.0
TKT000440,U001044,2023-05-02,,open,
TKT000441,U001046,2022-11-05,2022-11-12,closed,4.0
TKT000442,U001046,2022-09-01,2022-09-05,closed,3.0
TKT000443,U001051,2022-05-15,,open,
TKT000444,U001052,2024-08-29,2024-09-01,closed,3.0
TKT000445,U001062,2022-09-09,2022-09-16,closed,4.0
TKT000446,U001062,2022-08-24,2022-08-29,closed,1.0
TKT000447,U001063,2023-09-19,2023-09-21,closed,5.0
TKT000448,U001064,2024-03-10,2024-03-15,closed,3.0
TKT000449,U001064,2023-12-07,2023-12-13,closed,2.0
TKT000450,U001064,2024-02-09,2024-02-10,closed,3.0
TKT000451,U001068,2023-06-24,2023-06-27,closed,4.0
TKT000452,U001071,2022-06-01,2022-06-03,closed,1.0
TKT000453,U001071,2022-06-03,,open,
TKT000454,U001083,2022-12-15,,open,
TKT000455,U001100,2022-12-16,,open,
TKT000456,U001102,2024-07-22,2024-07-25,closed,5.0
TKT000457,U001102,2023-09-14,2023-09-20,closed,5.0
TKT000458,U001102,2023-06-21,2023-06-25,closed,2.0
TKT000459,U001107,2023-07-28,2023-07-31,closed,1.0
TKT000460,U001107,2023-07-06,2023-07-09,closed,4.0
TKT000461,U001108,2024-07-24,2024-07-30,closed,2.0
TKT000462,U001108,2024-12-05,2024-12-06,closed,3.0
TKT000463,U001113,2024-05-24,2024-05-28,closed,5.0
TKT000464,U001113,2023-10-19,2023-10-24,closed,4.0
TKT000465,U001113,2023-07-27,2023-08-02,closed,3.0
TKT000466,U001115,2024-11-05,2024-11-08,closed,3.0
TKT000467,U001115,2024-10-01,2024-10-05,closed,3.0
TKT000468,U001116,2023-09-06,,open,
TKT000469,U001135,2024-10-12,2024-10-19,closed,1.0
TKT000470,U001135,2024-01-19,2024-01-20,closed,3.0
TKT000471,U001135,2024-08-02,2024-08-04,closed,5.0
TKT000472,U001143,2023-03-03,,open,
TKT000473,U001146,2022-08-18,,open,
TKT000474,U001146,2022-08-17,,open,
TKT000475,U001148,2022-11-07,,open,
TKT000476,U001150,2022-07-06,,open,
TKT000477,U001150,2022-07-06,,open,
TKT000478,U001151,2023-02-06,2023-02-12,closed,1.0
TKT000479,U001151,2023-02-14,2023-02-17,closed,2.0
TKT000480,U001152,2022-10-24,2022-10-26,closed,4.0
TKT000481,U001152,2022-10-28,,open,
TKT000482,U001155,2022-09-25,2022-09-26,closed,1.0
TKT000483,U001160,2022-07-22,,open,
TKT000484,U001166,2024-01-03,2024-01-05,closed,2.0
TKT000485,U001166,2023-10-13,2023-10-20,closed,4.0
TKT000486,U001166,2023-07-12,2023-07-17,closed,3.0
